name,category,spanish,participation,country,region,season,summary,ages,price,nationality,validity,website,facebook,source,host,references
ReCreation Nation,popup,False,,France,Ardeche,Program sessions,A pop-up gathering in Ardeche.,All,Varies,,web candidate (Low),recreation.org,,web research (WorldlyTribe),ReCreation,Website: https://recreation.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
"Worldschooling Family Retreat in Ardèche, France | ReCreation",popup,False,family,France,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Worldwise Learning,popup,False,,France,Provence,Program sessions,Organised learning program in Provence.,All,Varies,,web candidate (Medium),https://www.worldwiselearningadventures.org,,web research (WorldlyTribe),Worldwise,Website: https://www.worldwiselearningadventures.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Ecovillage Georgia,popup,False,,Georgia,"Lagodekhi, Kakheti",10-day summer camp,Summer camp in the Caucasus.,Families,~$300,,web candidate (Medium),https://ecovillagegeorgia.ge/summercamp/,,web research (Worldschooly),Ecovillage Georgia,Website: https://ecovillagegeorgia.ge/summercamp/ ; Worldschooly directory: https://worldschooly.com/hubs/
Summer Camp at Ecovillage Georgia,popup,False,dropoff,Georgia,,,extracted from worldschooly.com listing (listing dated 2025-04-29),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Green School Bali,popup,False,dropoff,Indonesia,"Ubud, Bali",Year-round (term enrollment),"World-famous bamboo-campus nature school. Borderline: a school families orbit, not a hub per se.",All,Varies (high),Anglo-Western,web candidate (Medium),greenschool.org,,web research (WorldlyTribe),Green School,Website: https://greenschool.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Pelangi Creative Camps in Bali for Kids Aged 3-12,popup,False,dropoff,Indonesia,Bali,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Pelangi School & Creative Camp,popup,False,dropoff,Indonesia,"Banjar, Buleleng, Bali",21-day,"School + creative camp, north Bali.",Children,~$670,,web candidate (Medium),https://www.pelangischoolbali.com,,web research (Worldschooly),,Website: https://www.pelangischoolbali.com ; Worldschooly directory: https://worldschooly.com/hubs/
BrightSteps Calabria,popup,False,,Italy,Calabria,Program sessions,Bilingual learning hub in southern Italy.,All,Varies,,web candidate (Medium),brightsteps.worldschoolinghub.com,,web research (WorldlyTribe),BrightSteps,Website: https://brightsteps.worldschoolinghub.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Worldschool Pop-Up Naples | April 2026,popup,False,dropoff,Italy,Naples,,extracted from worldschooly.com listing (listing dated 2026-05-03),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Better Together Hubs,popup,False,family,Japan,Osaka,Organised hub sessions,Community hub for worldschooling families in Osaka.,All,Varies,,web candidate (Medium),https://www.facebook.com/groups/1031842408551295,,web research (WorldlyTribe),Better Together,WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Osaka Worldschool Pop-Up | Budget-Friendly Worldschooling,popup,False,dropoff,Japan,,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Luang Prabang Worldschool Pop-Up Hub August 2026,popup,False,dropoff,Laos,Luang Prabang,,extracted from worldschooly.com listing,,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Borneo Rainforest | Worldschool Camp for Families,popup,False,family,Malaysia,Borneo,,extracted from worldschooly.com listing (listing dated 2025-10-10),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Mexico City Worldschool Pop-Up Hub New Year 2026,popup,False,dropoff,Mexico,,,extracted from worldschooly.com listing (listing dated 2027-01-04),,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Oaxaca Worldschool Pop-Up Hub November 2026,popup,False,dropoff,Mexico,,,extracted from worldschooly.com listing,,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; Instituto Cultural Oaxaca (R112): https://www.icomexico.com/ ; Deliberate Detour (R76): https://deliberatedetour.com/
San Miguel Worldschool Pop-Up Hub October 2026,popup,False,dropoff,Mexico,,,extracted from worldschooly.com listing,,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Sas Academy,popup,False,dropoff,Mexico,Playa del Carmen,28 July–1 Aug; more dates in Cancún,AI for kids and community building,"{""min"": 12, ""max"": 18}",,US/Canadian + Israeli (Playa),Med,https://www.sas.ac,,PDF (June-2026 listing),Renata Kecskés,Website: https://www.sas.ac ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Wildroots Worldschool,popup,False,dropoff,Mexico,"Playa del Carmen, Quintana Roo",5-day camps,Camp-style program on Caribbean coast. Near existing Sas Academy.,Mixed,~$400,,web candidate (Medium),https://www.wildrootsworldschool.com,,web research (Worldschooly; WorldlyTribe),Dasha,Website: https://www.wildrootsworldschool.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschooly directory: https://worldschooly.com/hubs/
Tika Ranch,popup,False,,Morocco,Sidi Kaouki (nr Essaouira),Program sessions,Farm + learning hub near surf village. Near existing Tazgha/Essaouira.,Mixed,Varies,,web candidate (Medium),tikaranch.com,,web research (WorldlyTribe),Tika Ranch,Website: https://tikaranch.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Worldschool Gathering the Netherlands,popup,False,family,Netherlands,Netherlands,,extracted from worldschooly.com listing (listing dated 2025-06-20),,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Green School New Zealand,popup,False,dropoff,New Zealand,(Green School campus),Term enrollment,Sister campus of Green School Bali.,All,Varies,Anglo-Western,web candidate (Medium),greenschool.org,,web research (WorldlyTribe),Green School,Website: https://greenschool.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Project Worldschool Peru Retreat | Teen Hub in the Sacred Valley,popup,False,dropoff,Peru,Sacred Valley,,extracted from worldschooly.com listing,,,,inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Pop Up Hub Warsaw,popup,False,family,Poland,Warsaw,28.06–04.07.2026,A whole-family pop-up gathering in Warsaw.,"{""min"": 1, ""max"": 99}",180 USD,,from PDF,https://www.worldschoolpopuphub.com/events/warsaw-poland-june-2026,https://www.facebook.com/groups/warsawpopup2026,PDF (June-2026 listing),Ewa Waslicka,Website: https://www.worldschoolpopuphub.com/events/warsaw-poland-june-2026 ; Facebook / Instagram: https://www.facebook.com/groups/warsawpopup2026 ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
"Worldschool Pop-Up Hub (Warsaw, Poland)",popup,False,dropoff,Poland,"Warsaw, Poland","Jun 28, 2026 – Jul 04, 2026",rendered from famunity.net,,,Mixed intl,High,https://www.worldschoolpopuphub.com/upcoming-events,,inbox (browser:famunity.net),,Website: https://www.worldschoolpopuphub.com/upcoming-events
Portugal Pop Up Worldschool Hub,popup,False,family,Portugal,Lisbon / Cascais,weekly meetups,spotted during Stage-1 lisbon-cascais resolution; weekly beach/park meetups for traveling families,,,,inbox-approved,https://www.portugalpopup.com/,,inbox (manual),,Website: https://www.portugalpopup.com/
Inside Romania,popup,False,family,Romania,Măgura,Jun–Jul (summer),"Traditional Romanian culture, community and connection","{""min"": 9, ""note"": ""Teens & tweens 9+ (younger siblings acce",Varies depending on size of family,,from PDF,https://insideromania.ro/worldschool,https://www.facebook.com/InsideRomania,PDF (June-2026 listing),Dumitrescu Family,Website: https://insideromania.ro/worldschool ; Facebook / Instagram: https://www.facebook.com/InsideRomania ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
"Worldschool Pop-Up Hub (Sibiu, Romania)",popup,False,dropoff,Romania,"Sibiu, Romania","Jun 17, 2026 – Jun 23, 2026",rendered from famunity.net,,,Mixed intl,High,https://www.worldschoolpopuphub.com/upcoming-events,,inbox (browser:famunity.net),,Website: https://www.worldschoolpopuphub.com/upcoming-events
Green School South Africa,popup,False,dropoff,South Africa,(Green School campus),Term enrollment,Sister campus of Green School Bali.,All,Varies,Anglo-Western,web candidate (Medium),greenschool.org,,web research (WorldlyTribe),Green School,Website: https://greenschool.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Andalusia Nomad Mums (co-living for mums and kids),popup,True,family,Spain,Chiclana de la Frontera,"1–29 Oct 2025; 1–29 Apr, 1–29 May, 1–15 Jun, 1–29 Oct 2026","Forest/beach school in pine forest and on the beach; bilingual Spanish/English educators, mornings 9am–2pm","{""min"": 2, ""max"": 12}","From €2,940 per month (co-living, private room, shared bathroom)",,from PDF,,,PDF (June-2026 listing),Claudia Bellante,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
El Aula Azul,popup,True,,Spain,San Sebastian,Intensive immersion weeks,Spanish immersion where parents and kids learn simultaneously.,All (parents+kids),Varies,,web candidate (Medium),elaulaazul.com,,web research (WorldlyTribe),El Aula Azul,Website: https://elaulaazul.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Language and Cultural Immersion Northern Spain,popup,True,family,Spain,Basque Country,"July, August, September, October 2026 sessions",Montessori and Reggio-inspired program (IB PYP / US Reggio-inspired certified teacher),"{""min"": 3, ""max"": 12}",Per month,,from PDF,,,PDF (June-2026 listing),Alexandra Castro,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/:  ; Bliss Investor — Pai (R19): https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Amani Light Worldschool Hub Tanzania,popup,False,family,Tanzania,Moshi,Sept 15 – Oct 10 2025; Feb 2–27 2026; June 1–26 2026,"Natural building practices and methods, cultural immersion, nature, and the arts","{""note"": ""Any age welcome; children under 4 supervised by a ","Family of 2 = $3,000 up to Family of 5 = $3,900 (optional 4th week of safari)",,Med (≈Worldschooling Tanzania),https://www.amanilight.com/worldschool,https://www.facebook.com/groups/956996229464143,PDF (June-2026 listing),Marissa Lipovsky,Website: https://www.amanilight.com/worldschool ; Facebook / Instagram: https://www.facebook.com/groups/956996229464143 ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Krabi Family Fun!,popup,False,family,Thailand,Ao Nang,"June 14–18, and every month","Economic, nature loving, music","{""min"": 0, ""max"": 99}",Free,,from PDF,,,PDF (June-2026 listing),Hadas Korn,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Languaventure International Learning Centre & Camps,popup,False,dropoff,Turkey,Fethiye,Throughout the academic year and school holidays,"Thematic learning following the English National Curriculum, face to face with UK teachers","{""min"": 4, ""max"": 11}","Depending on the programme; weekly, monthly or termly payment schedules",British + intl,from PDF,https://languaventure.com,,PDF (June-2026 listing),Sean Paul,Website: https://languaventure.com ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Uganda Worldschooling Hub,popup,False,dropoff,Uganda,"Bwerenga, Entebbe",Every summer for 4 weeks,"Week 1 culture and arts, week 2 nature and agriculture, week 3 animals, birdwatching, swamp eco system and reptile village. Hub runs mornings; afternoons free for families.","{""min"": 4, ""max"": 10}",$500 per week per child for the 3 hub weeks; accommodation and safari paid separately,,from PDF,,https://www.facebook.com/JacquelineSseggayi,PDF (June-2026 listing),Jacqueline & Shafiki Sseggayi-Blankenstein,Facebook / Instagram: https://www.facebook.com/JacquelineSseggayi ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Camp Stomping Ground,popup,False,,United States,"Catskill Mountains, New York",Summer camp,Self-directed alternative summer camp.,Children,Varies,,web candidate (Medium),campstompingground.org,,web research (WorldlyTribe),Camp Stomping Ground,Website: https://campstompingground.org ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Mendocino Worldschool Pop-Up Hub June 2026,popup,False,dropoff,United States,,,extracted from worldschooly.com listing,,,Mixed intl,High,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/
Twin Eagles Wilderness Adventure Camps,popup,False,,United States,"Sandpoint, Idaho",5-day camps,"A pop-up gathering in Sandpoint, Idaho.",Children,~$395,,web candidate (Low),https://www.twineagles.org,,web research (Worldschooly),Twin Eagles,Website: https://www.twineagles.org ; Worldschooly directory: https://worldschooly.com/hubs/
"Worldschool Pop-Up Hub (Mendocino, USA)",popup,False,dropoff,United States,"Mendocino, USA","Jun 24, 2026 – Jun 30, 2026",rendered from famunity.net,,,Mixed intl,High,https://www.worldschoolpopuphub.com/upcoming-events,,inbox (browser:famunity.net),,Website: https://www.worldschoolpopuphub.com/upcoming-events
"Worldschool Pop-Up Hub (San Francisco, USA)",popup,False,dropoff,United States,"San Francisco, USA","Jun 15, 2026 – Jun 21, 2026",rendered from famunity.net,,,Mixed intl,High,https://www.worldschoolpopuphub.com/upcoming-events,,inbox (browser:famunity.net),,Website: https://www.worldschoolpopuphub.com/upcoming-events
Worldschooly Pop-Ups (generic city series),popup,False,dropoff,multi,"Mexico City, Buenos Aires, Naples, Osaka, Luang Prabang, Varna, San Miguel, Mendocino, Oaxaca...",6-7 day pop-ups,"A drop-off pop-up gathering in Mexico City, Buenos Aires, Naples, Osaka, Luang Prabang, Varna, San Miguel, Mendocino, Oaxaca....",Families,~$140,,web candidate (Low),worldschooly.com,,web research (Worldschooly),,Website: https://worldschooly.com ; Worldschooly directory: https://worldschooly.com/hubs/
World School Pop-Up Hub,popup,False,dropoff,multi (global),17 cities worldwide,"Jun-Nov 2026: Medellin, San Francisco, Sibiu, Mendocino, Warsaw, Austin, Vienna, Dresden, Luang Prabang, Liverpool, Cuenca, London, Osaka, Cape Town, San Miguel de Allende, Taipei, Oaxaca, Santiago",A drop-off pop-up gathering in 17 cities worldwide.,All,~€100/family,,web candidate (High),worldschoolpopuphub.com,,web research (Own events page; WorldlyTribe),World School Pop Up,Website: https://worldschoolpopuphub.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Traveling Village,traveling,False,dropoff,,,,extracted from theworldschoolatlas.com listing (listing dated 2025-04-01),,,,inbox-approved,,,inbox (aggregator-diff:theworldschoolatlas.com),,
Worldschooling Austria Mountain Retreat,traveling,False,family,Austria,Bad Gastein,May 31 – July 12 2026 (three 2-week sessions),"Explore the Austrian mountains and local culture as a group — hiking, lakes, eating, local trains and buses","{""note"": ""All ages""}","Starting at €3,500 (14 nights lodging, resort amenities, group activities, retreat leaders)",,from PDF,https://worldschoolingjourneys.com/trips/september-austrian-mountain-fall-retreat/,,PDF (June-2026 listing),Worldschooling Journeys,Website: https://worldschoolingjourneys.com/trips/september-austrian-mountain-fall-retreat/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Worldschooling Austria Winter Mountain Retreat,traveling,False,family,Austria,Bad Gastein,December 4–18 2026,"Alpine ski retreat — ski lessons, Christmas markets, sauna, snow play; connection and adventure for worldschooling families","{""note"": ""Families""}","1 adult + 1 child from €2,600 (14 nights lodging, ski retreat, co-working room, retreat fees)",,from PDF,https://worldschoolingjourneys.com/trips/december-austrian-skiing-christmas-markets-retreat/,,PDF (June-2026 listing),Worldschooling Journeys,Website: https://worldschoolingjourneys.com/trips/december-austrian-skiing-christmas-markets-retreat/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Arctic Terns,traveling,False,,Bulgaria + global,Bansko BG,Pop-ups across locations,Bansko-based pop-up hub network.,Families,Varies,,web candidate (Medium),arcticterns.global,,web research (WorldlyTribe),Arctic Terns,Website: https://arcticterns.global ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Exploring Families,traveling,False,family,Europe,Lake Garda IT (Mar-Apr 2026); Bornholm DK (May-Jun 2026 sold out); Utrecht NL; Funtana/Istria HR,Dated 2026 sessions,"Runs the 'Worldschool Gathering' events (NL, Croatia) listed on Worldschooly. Dated 2026 sessions.",Families; teen/tween edition,~€70/family,,web candidate (High),exploringfamilies.eu,,web research (WorldschoolHubs blog; Worldschooly),The Exploring Families,Website: https://exploringfamilies.eu ; Worldschooly directory: https://worldschooly.com/hubs/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
Worldschooling Journeys (Mediterranean Cruise (Italy & France)),traveling,False,dropoff,France,Mediterranean Cruise (Italy & France),"Oct 24, 2026 – Oct 31, 2026",rendered from famunity.net,,,,inbox-approved,https://worldschoolingjourneys.com/,,inbox (browser:famunity.net),,Website: https://worldschoolingjourneys.com/
"""Learn to Sail"" Family Adventure (Greece / Balkans)",traveling,False,family,Greece,Greek Islands,May – Greece; early June – Greek Islands or the Balkans,"Sailing basics, water adventures, snorkelling, paddleboarding, secluded beaches and cave exploration","{""note"": ""All ages""}","$1,475 per person",,from PDF,,,PDF (June-2026 listing),Every Avenue Travel,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Wander & Wonder — The Traveling Adventure School,traveling,False,family,Greece,Crete,"Multiple offerings, year round",Nature school / field trips,"{""note"": ""All ages""}",$300 – $600 USD,,from PDF,https://www.facebook.com/groups/3761508630761429/,,PDF (June-2026 listing),Mel Bembers,Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Deliberate Detour - Guatemala,traveling,False,,Guatemala,Antigua,2-4 week sessions,"Same brand, Antigua location.",7-16,Varies,US/Canadian + intl,High,deliberatedetour.com,,web research (WorldlyTribe),Deliberate Detour,Website: https://deliberatedetour.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Deliberate Detour: https://deliberatedetour.com/
Wanderlust Schoolers,traveling,False,family,Japan,Tokyo,October 2–28 2026,A whole-family traveling program in Tokyo.,"{""note"": ""All ages""}",Varies,,from PDF,,https://www.facebook.com/groups/wanderlustschoolers,PDF (June-2026 listing),Marcy (Warman) Bond,Facebook / Instagram: https://www.facebook.com/groups/wanderlustschoolers ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Outside the Box Adventures,traveling,False,family,"Maldives, South Africa",Dhangethi Island MV; South Africa,Varies,Adventure-based family programs in wildlife/nature settings.,Families,Varies,,web candidate (Medium),outsidetheboxadventures.com,,web research (WorldlyTribe),Outside the Box,Website: https://outsidetheboxadventures.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Deliberate Detour - Oaxaca,traveling,False,,Mexico,Oaxaca,"2-4 week sessions, 2026","Same brand, additional location. Groups capped at 16 kids.",7-16,Varies,US/Canadian + intl,High,deliberatedetour.com,,web research (WorldlyTribe; RemoteFamily),Deliberate Detour,Website: https://deliberatedetour.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; RemoteFamily directory: https://remotefamily.com/ ; Instituto Cultural Oaxaca (R112): https://www.icomexico.com/ ; Deliberate Detour (R76): https://deliberatedetour.com/
Deliberate Detour,traveling,False,dropoff,Peru,Cusco,"Cusco: Mar–Aug 2026 (2–3 week sessions). Oaxaca: May–Jul 2026, plus Guelaguetza Festival and Día de los Muertos add-ons",A drop-off traveling program in Cusco.,"{""min"": 7, ""max"": 16}","Two weeks: $795–$875/child · Three weeks: $1,205–$1,310/child",US/Canadian + intl,High,https://www.deliberatedetour.com,https://www.facebook.com/deliberatedetour,PDF (June-2026 listing),Stephanie Tolk,Website: https://www.deliberatedetour.com ; Facebook / Instagram: https://www.facebook.com/deliberatedetour ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/:  ; Deliberate Detour: https://deliberatedetour.com/
Worldschooling Journeys (Southeast Asia Cruise (Hong Kong to Singapore)),traveling,False,dropoff,Singapore,Southeast Asia Cruise (Hong Kong to Singapore),"Aug 29, 2026 – Sep 12, 2026",rendered from famunity.net,,,,inbox-approved,https://worldschoolingjourneys.com/,,inbox (browser:famunity.net),,Website: https://worldschoolingjourneys.com/
Unschool Adventures,traveling,False,dropoff,Spain (+ global),Valencia ES (2026),Program dates vary,Teen unschooling travel programs. Valencia 2026 session.,Teens,Varies,,web candidate (Medium),unschooladventures.com,,web research (WorldlyTribe; WorldschoolHubs blog),Unschool Adventures,Website: https://unschooladventures.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/
Global Classroom Project (Harmony Alternative),traveling,False,dropoff,"Thailand (+ Lombok, Hoi An)",Ko Lanta,"3 terms, 60-day blocks",Full-term travelling school for secondary-age worldschoolers.,11-18,"~$3,960/term",,web candidate (Medium),harmonyalternative.com,,web research (Worldschooly; RemoteFamily/WorldlyTribe),David B.,Website: https://harmonyalternative.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschooly directory: https://worldschooly.com/hubs/ ; RemoteFamily directory: https://remotefamily.com/
Worldschooling Dude Ranch Experience,traveling,False,family,United States,Montana,September 6–12 2026,"Exclusive curated dude-ranch experience — horseback riding, cattle driving, farm life, Western history, hands-on learning","{""note"": ""6+ for horseback riding""}","$3,300 per person",,from PDF,https://worldschoolingjourneys.com/sep-horseback-riding-dude-ranch-experience-2027/,,PDF (June-2026 listing),Worldschooling Journeys,Website: https://worldschoolingjourneys.com/sep-horseback-riding-dude-ranch-experience-2027/ ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/: 
Travelling Village,traveling,False,family,"Vietnam, Taiwan, South Korea",Multiple cities,"Jan 2026 cohort, ~3 months","3rd year, ~20 families travelling together. Structured community travel.",Families,Varies,,web candidate (Medium),travelingvillage.com,instagram.com/the.travelling.village,web research (WorldlyTribe; WorldschoolHubs blog) + web research,The Travelling Village,Website: https://travelingvillage.com ; Facebook / Instagram: https://instagram.com/the.travelling.village ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Traveling Village: https://travelingvillage.com/village-3
Storylines (ship),traveling,False,family,multi,Global (ship),Year-round,A residential cruise-ship community offering 'traveling youth education' as the ship circumnavigates the globe (verify family fit).,,,Mixed intl,Low (verify),https://www.storylines.com/worldschooling,,web research (gathering-places + Spanish cut + traveling),,Website: https://www.storylines.com/worldschooling
THINK Global School,traveling,False,dropoff,multi,4 countries/yr,Year-round (8-wk terms),"The world's first traveling high school: a boarding cohort of ~30 teens that moves to a new country every 8-week term (drop-off, not family co-travel).",,,Mixed intl,High,https://thinkglobalschool.org/,,web research (gathering-places + Spanish cut + traveling),,Website: https://thinkglobalschool.org/
Together Explorers,traveling,False,family,multi,Italy→Morocco→Egypt→Israel→Greece,Multi-country cohort,"A traveling cohort of six families plus a teacher who journey together through Italy, Morocco, Egypt, Israel and Greece.",,,American/Danish-led,High,https://www.facebook.com/thetogetherexplorers/,,web research (gathering-places + Spanish cut + traveling),,Together Explorers (R119): https://www.facebook.com/thetogetherexplorers/
Project World School,traveling,False,dropoff,"multi (Greece, Peru, global)",Peloponnese/Pelion/Athens GR; Cusco PE,Multi-day retreats + family summits,Founders of 'We Are Worldschoolers'. Teen-focused immersive retreats.,Teens & young adults,Varies,,web candidate (High),projectworldschool.com,,web research (WorldlyTribe; WorldschoolHubs blog),Lainie Liberti / Project World School,Website: https://projectworldschool.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; WorldschoolHubs blog directory: https://blog.worldschoolhubs.com/worldschooling-hubs/ ; Project World School: https://projectworldschool.com/
Dream Big Travels,traveling,False,family,"multi (Japan, Malaysia)",Tokyo/Kyoto/Osaka JP; Borneo MY,9-day trips,"Organised family tour programs (Japan, Borneo).",Families,"~$2,185",,web candidate (Medium),dreambigtravels.com.au,,web research (WorldlyTribe; Worldschooly),Dream Big Travels,Website: https://dreambigtravels.com.au ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/ ; Worldschooly directory: https://worldschooly.com/hubs/
Worldschooling Journeys (Every Avenue),traveling,False,dropoff,multi (cruises + land),Global; Austria Bad Gastein land trip,Varies,Community cruises + group land trips. Note Austria trip overlaps existing Austria retreats.,Families,Varies,,web candidate (Medium),https://worldschoolingjourneys.com,,web research (WorldlyTribe),Every Avenue,Website: https://worldschoolingjourneys.com ; WorldlyTribe directory: https://worldlytribe.com/worldschooling-hubs-directory/
Sucre,spanish_immersion,True,family,Bolivia,Sucre,Year-round,"Bolivia's bargain Spanish-immersion capital (~$6/hr, clear accent) with a long-stay learner community where friendships form through the schools.",,,Mixed intl,Med,https://destinationlesstravel.com/sucre-spanish-school/,,web research (gathering-places + Spanish cut + traveling),,Website: https://destinationlesstravel.com/sucre-spanish-school/
Cuenca,spanish_immersion,True,family,Ecuador,Cuenca,Year-round,Colonial highland Ecuadorian city—cheap Spanish immersion and bilingual schools anchor an established expat-family base.,,,Mixed intl,Med,,,web research (gathering-places + Spanish cut + traveling),,Andean Global Studies — Cuenca (R115): https://www.andeanglobalstudies.org/spanish-schools-programs/cuenca-school-overview
Antigua,spanish_immersion,True,family,Guatemala,Antigua,Year-round (dry Nov–Apr),"The classic Latin-American Spanish-immersion town since the 1980s—cheap one-on-one lessons, homestays and flexible 1–5 week family stays.",,,Mixed intl,High,https://www.spanishacademyantiguena.com/,,web research (gathering-places + Spanish cut + traveling),,Website: https://www.spanishacademyantiguena.com/ ; No Back Home — Guatemala schools (R110): https://nobackhome.com/spanish-schools-in-guatemala/
Antigua Guatemala Global Explorers,spanish_immersion,False,dropoff,Guatemala,Antigua Guatemala,4-week program; shorter or longer participation permitted,"Guatemalan-owned and led cultural exchange program; safe, healthy, creative environment immersing in culture, traditions and language of Guatemala","{""min"": 3, ""max"": 17}",$650–$850 for the 4-week program,Mixed intl (Spanish),from PDF,https://www.antiguaworldschool.com,https://www.facebook.com/share/g/12LvQG7Whr8,PDF (June-2026 listing),Gabriela Alfaro,Website: https://www.antiguaworldschool.com ; Facebook / Instagram: https://www.facebook.com/share/g/12LvQG7Whr8 ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/:  ; Antigüeña Spanish Academy (R110): https://www.spanishacademyantiguena.com/ ; No Back Home — Guatemala schools (R110): https://nobackhome.com/spanish-schools-in-guatemala/
Antigua Guatemala Global Explorers | Worldschooling Hub,spanish_immersion,False,dropoff,Guatemala,Antigua,,extracted from worldschooly.com listing (listing dated 2025-05-31),,,Mixed intl (Spanish),inbox-approved,,,inbox (aggregator-diff:worldschooly.com),,Worldschooly directory: https://worldschooly.com/hubs/ ; Antigüeña Spanish Academy (R110): https://www.spanishacademyantiguena.com/ ; No Back Home — Guatemala schools (R110): https://nobackhome.com/spanish-schools-in-guatemala/
Lake Atitlán (San Pedro),spanish_immersion,True,family,Guatemala,San Pedro La Laguna,Year-round,Lakeside Guatemalan village whose cooperative Spanish schools run explicit kids-and-family immersion courses; long-stay traveler scene.,,,Mixed intl,High,https://sanpedrospanishschool.com/,,web research (gathering-places + Spanish cut + traveling),,Website: https://sanpedrospanishschool.com/ ; San Pedro Spanish School (R111): https://sanpedrospanishschool.com/spanish-for-kids/
